#EleNb	X	Y	Z	Solution	Assigned	Total
682	-0.015	0.001325	0.105	1.806988840327167e-05	0	1.806988840327167e-05
683	-0.015	0.001325	0.075	1.806980788425137e-05	0	1.806980788425137e-05
684	-0.015	0.001325	0.045	1.806979033975711e-05	0	1.806979033975711e-05
685	-0.015	0.001325	0.015	1.806978582787046e-05	0	1.806978582787046e-05
686	-0.015	0.001325	-0.015	1.806978582766925e-05	0	1.806978582766925e-05
687	-0.015	0.001325	-0.045	1.806979034043368e-05	0	1.806979034043368e-05
688	-0.015	0.001325	-0.075	1.806980788483471e-05	0	1.806980788483471e-05
689	-0.015	0.001325	-0.105	1.806988840328632e-05	0	1.806988840328632e-05
690	-0.015	0.001325	-0.135	1.807499524214556e-05	0	1.807499524214556e-05
691	0.015	0.001325	0.135	1.807499524181061e-05	0	1.807499524181061e-05
692	0.015	0.001325	0.105	1.806988840253973e-05	0	1.806988840253973e-05
693	0.015	0.001325	0.075	1.806980788388627e-05	0	1.806980788388627e-05
694	0.015	0.001325	0.045	1.806979034002426e-05	0	1.806979034002426e-05
695	0.015	0.001325	0.015	1.806978582803648e-05	0	1.806978582803648e-05
696	0.015	0.001325	-0.015	1.806978582754883e-05	0	1.806978582754883e-05
697	0.015	0.001325	-0.045	1.806979034106693e-05	0	1.806979034106693e-05
698	0.015	0.001325	-0.075	1.806980788465889e-05	0	1.806980788465889e-05
699	0.015	0.001325	-0.105	1.806988840349886e-05	0	1.806988840349886e-05
700	0.015	0.001325	-0.135	1.807499524275146e-05	0	1.807499524275146e-05
701	0.045	0.001325	0.135	1.807499948963022e-05	0	1.807499948963022e-05
702	0.045	0.001325	0.105	1.806989208684838e-05	0	1.806989208684838e-05
703	0.045	0.001325	0.075	1.806981204278965e-05	0	1.806981204278965e-05
704	0.045	0.001325	0.045	1.80697947515232e-05	0	1.80697947515232e-05
705	0.045	0.001325	0.015	1.806979034038548e-05	0	1.806979034038548e-05
706	0.045	0.001325	-0.015	1.806979033983966e-05	0	1.806979033983966e-05
707	0.045	0.001325	-0.045	1.806979475112645e-05	0	1.806979475112645e-05
708	0.045	0.001325	-0.075	1.806981204250703e-05	0	1.806981204250703e-05
709	0.045	0.001325	-0.105	1.806989208673074e-05	0	1.806989208673074e-05
710	0.045	0.001325	-0.135	1.807499949064292e-05	0	1.807499949064292e-05
711	0.075	0.001325	0.135	1.807501447689431e-05	0	1.807501447689431e-05
712	0.075	0.001325	0.105	1.806990695745946e-05	0	1.806990695745946e-05
713	0.075	0.001325	0.075	1.80698286133237e-05	0	1.80698286133237e-05
714	0.075	0.001325	0.045	1.806981204308338e-05	0	1.806981204308338e-05
715	0.075	0.001325	0.015	1.80698078850336e-05	0	1.80698078850336e-05
716	0.075	0.001325	-0.015	1.806980788398335e-05	0	1.806980788398335e-05
717	0.075	0.001325	-0.045	1.806981204244961e-05	0	1.806981204244961e-05
718	0.075	0.001325	-0.075	1.80698286128746e-05	0	1.80698286128746e-05
719	0.075	0.001325	-0.105	1.806990695791735e-05	0	1.806990695791735e-05
720	0.075	0.001325	-0.135	1.807501447758938e-05	0	1.807501447758938e-05
721	0.105	0.001325	0.135	1.807507593450782e-05	0	1.807507593450782e-05
722	0.105	0.001325	0.105	1.806997923074302e-05	0	1.806997923074302e-05
723	0.105	0.001325	0.075	1.806990695805026e-05	0	1.806990695805026e-05
724	0.105	0.001325	0.045	1.80698920861763e-05	0	1.80698920861763e-05
725	0.105	0.001325	0.015	1.806988840353834e-05	0	1.806988840353834e-05
726	0.105	0.001325	-0.015	1.806988840346419e-05	0	1.806988840346419e-05
727	0.105	0.001325	-0.045	1.806989208625289e-05	0	1.806989208625289e-05
728	0.105	0.001325	-0.075	1.806990695806141e-05	0	1.806990695806141e-05
729	0.105	0.001325	-0.105	1.806997923278894e-05	0	1.806997923278894e-05
730	0.105	0.001325	-0.135	1.807507593482221e-05	0	1.807507593482221e-05
731	0.135	0.001325	0.135	1.807976381114813e-05	0	1.807976381114813e-05
732	0.135	0.001325	0.105	1.807507593258446e-05	0	1.807507593258446e-05
733	0.135	0.001325	0.075	1.807501447632327e-05	0	1.807501447632327e-05
734	0.135	0.001325	0.045	1.807499948976086e-05	0	1.807499948976086e-05
735	0.135	0.001325	0.015	1.807499524333009e-05	0	1.807499524333009e-05
736	0.135	0.001325	-0.015	1.807499524207021e-05	0	1.807499524207021e-05
737	0.135	0.001325	-0.045	1.807499948952302e-05	0	1.807499948952302e-05
738	0.135	0.001325	-0.075	1.807501447638585e-05	0	1.807501447638585e-05
739	0.135	0.001325	-0.105	1.807507593380229e-05	0	1.807507593380229e-05
740	0.135	0.001325	-0.135	1.807976381103536e-05	0	1.807976381103536e-05
741	-0.135	-0.001325	-0.135	-1.807976381267216e-05	0	-1.807976381267216e-05
742	-0.135	-0.001325	-0.105	-1.807507593422391e-05	0	-1.807507593422391e-05
743	-0.135	-0.001325	-0.075	-1.807501447695309e-05	0	-1.807501447695309e-05
744	-0.135	-0.001325	-0.045	-1.807499949003803e-05	0	-1.807499949003803e-05
745	-0.135	-0.001325	-0.015	-1.807499524295078e-05	0	-1.807499524295078e-05
746	-0.135	-0.001325	0.015	-1.807499524122864e-05	0	-1.807499524122864e-05
747	-0.135	-0.001325	0.045	-1.807499949003996e-05	0	-1.807499949003996e-05
748	-0.135	-0.001325	0.075	-1.807501447730743e-05	0	-1.807501447730743e-05
749	-0.135	-0.001325	0.105	-1.807507593441379e-05	0	-1.807507593441379e-05
750	-0.135	-0.001325	0.135	-1.807976381235181e-05	0	-1.807976381235181e-05
751	-0.105	-0.001325	-0.135	-1.807507593217953e-05	0	-1.807507593217953e-05
752	-0.105	-0.001325	-0.105	-1.806997923133905e-05	0	-1.806997923133905e-05
753	-0.105	-0.001325	-0.075	-1.806990695770536e-05	0	-1.806990695770536e-05
754	-0.105	-0.001325	-0.045	-1.80698920865504e-05	0	-1.80698920865504e-05
755	-0.105	-0.001325	-0.015	-1.806988840323212e-05	0	-1.806988840323212e-05
756	-0.105	-0.001325	0.015	-1.806988840301719e-05	0	-1.806988840301719e-05
757	-0.105	-0.001325	0.045	-1.806989208672399e-05	0	-1.806989208672399e-05
758	-0.105	-0.001325	0.075	-1.806990695717902e-05	0	-1.806990695717902e-05
759	-0.105	-0.001325	0.105	-1.806997923079402e-05	0	-1.806997923079402e-05
760	-0.105	-0.001325	0.135	-1.807507593297845e-05	0	-1.807507593297845e-05
761	-0.075	-0.001325	-0.135	-1.807501447557087e-05	0	-1.807501447557087e-05
762	-0.075	-0.001325	-0.105	-1.806990695750958e-05	0	-1.806990695750958e-05
763	-0.075	-0.001325	-0.075	-1.806982861340717e-05	0	-1.806982861340717e-05
764	-0.075	-0.001325	-0.045	-1.806981204257958e-05	0	-1.806981204257958e-05
765	-0.075	-0.001325	-0.015	-1.806980788382789e-05	0	-1.806980788382789e-05
766	-0.075	-0.001325	0.015	-1.806980788364485e-05	0	-1.806980788364485e-05
767	-0.075	-0.001325	0.045	-1.806981204259958e-05	0	-1.806981204259958e-05
768	-0.075	-0.001325	0.075	-1.806982861300193e-05	0	-1.806982861300193e-05
769	-0.075	-0.001325	0.105	-1.806990695761122e-05	0	-1.806990695761122e-05
770	-0.075	-0.001325	0.135	-1.807501447670495e-05	0	-1.807501447670495e-05
771	-0.045	-0.001325	-0.135	-1.807499948917949e-05	0	-1.807499948917949e-05
772	-0.045	-0.001325	-0.105	-1.806989208628075e-05	0	-1.806989208628075e-05
773	-0.045	-0.001325	-0.075	-1.806981204277078e-05	0	-1.806981204277078e-05
774	-0.045	-0.001325	-0.045	-1.806979475113884e-05	0	-1.806979475113884e-05
775	-0.045	-0.001325	-0.015	-1.806979033961993e-05	0	-1.806979033961993e-05
776	-0.045	-0.001325	0.015	-1.806979034017025e-05	0	-1.806979034017025e-05
777	-0.045	-0.001325	0.045	-1.8069794751693e-05	0	-1.8069794751693e-05
778	-0.045	-0.001325	0.075	-1.806981204309208e-05	0	-1.806981204309208e-05
779	-0.045	-0.001325	0.105	-1.806989208723792e-05	0	-1.806989208723792e-05
780	-0.045	-0.001325	0.135	-1.807499949019653e-05	0	-1.807499949019653e-05
781	-0.015	-0.001325	-0.135	-1.807499524159596e-05	0	-1.807499524159596e-05
782	-0.015	-0.001325	-0.105	-1.806988840339086e-05	0	-1.806988840339086e-05
783	-0.015	-0.001325	-0.075	-1.806980788361406e-05	0	-1.806980788361406e-05
784	-0.015	-0.001325	-0.045	-1.806979033981947e-05	0	-1.806979033981947e-05
785	-0.015	-0.001325	-0.015	-1.806978582767755e-05	0	-1.806978582767755e-05
786	-0.015	-0.001325	0.015	-1.806978582758283e-05	0	-1.806978582758283e-05
787	-0.015	-0.001325	0.045	-1.806979033988911e-05	0	-1.806979033988911e-05
788	-0.015	-0.001325	0.075	-1.80698078844809e-05	0	-1.80698078844809e-05
789	-0.015	-0.001325	0.105	-1.806988840269941e-05	0	-1.806988840269941e-05
790	-0.015	-0.001325	0.135	-1.80749952422851e-05	0	-1.80749952422851e-05
791	0.015	-0.001325	-0.135	-1.807499524171272e-05	0	-1.807499524171272e-05
792	0.015	-0.001325	-0.105	-1.80698884027117e-05	0	-1.80698884027117e-05
793	0.015	-0.001325	-0.075	-1.806980788376446e-05	0	-1.806980788376446e-05
794	0.015	-0.001325	-0.045	-1.806979033964766e-05	0	-1.806979033964766e-05
795	0.015	-0.001325	-0.015	-1.806978582770151e-05	0	-1.806978582770151e-05
796	0.015	-0.001325	0.015	-1.806978582728161e-05	0	-1.806978582728161e-05
797	0.015	-0.001325	0.045	-1.806979034042888e-05	0	-1.806979034042888e-05
798	0.015	-0.001325	0.075	-1.806980788431141e-05	0	-1.806980788431141e-05
799	0.015	-0.001325	0.105	-1.806988840343991e-05	0	-1.806988840343991e-05
800	0.015	-0.001325	0.135	-1.807499524201984e-05	0	-1.807499524201984e-05
801	0.045	-0.001325	-0.135	-1.80749994897929e-05	0	-1.80749994897929e-05
802	0.045	-0.001325	-0.105	-1.806989208669502e-05	0	-1.806989208669502e-05
803	0.045	-0.001325	-0.075	-1.806981204250587e-05	0	-1.806981204250587e-05
804	0.045	-0.001325	-0.045	-1.806979475159989e-05	0	-1.806979475159989e-05
805	0.045	-0.001325	-0.015	-1.806979034032008e-05	0	-1.806979034032008e-05
806	0.045	-0.001325	0.015	-1.806979033981176e-05	0	-1.806979033981176e-05
807	0.045	-0.001325	0.045	-1.806979475102881e-05	0	-1.806979475102881e-05
808	0.045	-0.001325	0.075	-1.806981204248845e-05	0	-1.806981204248845e-05
