#EleNb	X	Y	Z	Solution	Assigned	Total
1109	-0.0015	-0.001345	0.0105	-2.782818663325594e-05	0	-2.782818663325594e-05
1110	-0.0015	-0.001345	0.0135	-2.783102399909778e-05	0	-2.783102399909778e-05
1111	0.0015	-0.001345	-0.0135	-2.783102399909021e-05	0	-2.783102399909021e-05
1112	0.0015	-0.001345	-0.0105	-2.782818663327294e-05	0	-2.782818663327294e-05
1113	0.0015	-0.001345	-0.0075	-2.782745388579286e-05	0	-2.782745388579286e-05
1114	0.0015	-0.001345	-0.0045	-2.782746596680261e-05	0	-2.782746596680261e-05
1115	0.0015	-0.001345	-0.0015	-2.782745754250067e-05	0	-2.782745754250067e-05
1116	0.0015	-0.001345	0.0015	-2.782745754247965e-05	0	-2.782745754247965e-05
1117	0.0015	-0.001345	0.0045	-2.782746596680817e-05	0	-2.782746596680817e-05
1118	0.0015	-0.001345	0.0075	-2.782745388576078e-05	0	-2.782745388576078e-05
1119	0.0015	-0.001345	0.0105	-2.782818663326821e-05	0	-2.782818663326821e-05
1120	0.0015	-0.001345	0.0135	-2.78310239990818e-05	0	-2.78310239990818e-05
1121	0.0045	-0.001345	-0.0135	-2.783102615609614e-05	0	-2.783102615609614e-05
1122	0.0045	-0.001345	-0.0105	-2.782819209427067e-05	0	-2.782819209427067e-05
1123	0.0045	-0.001345	-0.0075	-2.78274615212417e-05	0	-2.78274615212417e-05
1124	0.0045	-0.001345	-0.0045	-2.782747421381068e-05	0	-2.782747421381068e-05
1125	0.0045	-0.001345	-0.0015	-2.782746596682092e-05	0	-2.782746596682092e-05
1126	0.0045	-0.001345	0.0015	-2.782746596682038e-05	0	-2.782746596682038e-05
1127	0.0045	-0.001345	0.0045	-2.782747421380689e-05	0	-2.782747421380689e-05
1128	0.0045	-0.001345	0.0075	-2.782746152117979e-05	0	-2.782746152117979e-05
1129	0.0045	-0.001345	0.0105	-2.782819209427792e-05	0	-2.782819209427792e-05
1130	0.0045	-0.001345	0.0135	-2.783102615609106e-05	0	-2.783102615609106e-05
1131	0.0075	-0.001345	-0.0135	-2.783105649723075e-05	0	-2.783105649723075e-05
1132	0.0075	-0.001345	-0.0105	-2.782818503931623e-05	0	-2.782818503931623e-05
1133	0.0075	-0.001345	-0.0075	-2.782744818247419e-05	0	-2.782744818247419e-05
1134	0.0075	-0.001345	-0.0045	-2.782746152122452e-05	0	-2.782746152122452e-05
1135	0.0075	-0.001345	-0.0015	-2.782745388578725e-05	0	-2.782745388578725e-05
1136	0.0075	-0.001345	0.0015	-2.782745388578577e-05	0	-2.782745388578577e-05
1137	0.0075	-0.001345	0.0045	-2.782746152118458e-05	0	-2.782746152118458e-05
1138	0.0075	-0.001345	0.0075	-2.782744818246088e-05	0	-2.782744818246088e-05
1139	0.0075	-0.001345	0.0105	-2.782818503926281e-05	0	-2.782818503926281e-05
1140	0.0075	-0.001345	0.0135	-2.783105649724017e-05	0	-2.783105649724017e-05
1141	0.0105	-0.001345	-0.0135	-2.783083226222965e-05	0	-2.783083226222965e-05
1142	0.0105	-0.001345	-0.0105	-2.782878640178455e-05	0	-2.782878640178455e-05
1143	0.0105	-0.001345	-0.0075	-2.782818503928054e-05	0	-2.782818503928054e-05
1144	0.0105	-0.001345	-0.0045	-2.782819209422889e-05	0	-2.782819209422889e-05
1145	0.0105	-0.001345	-0.0015	-2.78281866332738e-05	0	-2.78281866332738e-05
1146	0.0105	-0.001345	0.0015	-2.782818663325979e-05	0	-2.782818663325979e-05
1147	0.0105	-0.001345	0.0045	-2.782819209425157e-05	0	-2.782819209425157e-05
1148	0.0105	-0.001345	0.0075	-2.782818503930074e-05	0	-2.782818503930074e-05
1149	0.0105	-0.001345	0.0105	-2.782878640177295e-05	0	-2.782878640177295e-05
1150	0.0105	-0.001345	0.0135	-2.783083226228369e-05	0	-2.783083226228369e-05
1151	0.0135	-0.001345	-0.0135	-2.784433794900952e-05	0	-2.784433794900952e-05
1152	0.0135	-0.001345	-0.0105	-2.783083226224125e-05	0	-2.783083226224125e-05
1153	0.0135	-0.001345	-0.0075	-2.78310564973069e-05	0	-2.78310564973069e-05
1154	0.0135	-0.001345	-0.0045	-2.783102615611849e-05	0	-2.783102615611849e-05
1155	0.0135	-0.001345	-0.0015	-2.783102399914103e-05	0	-2.783102399914103e-05
1156	0.0135	-0.001345	0.0015	-2.783102399909052e-05	0	-2.783102399909052e-05
1157	0.0135	-0.001345	0.0045	-2.783102615611465e-05	0	-2.783102615611465e-05
1158	0.0135	-0.001345	0.0075	-2.783105649721587e-05	0	-2.783105649721587e-05
1159	0.0135	-0.001345	0.0105	-2.783083226222895e-05	0	-2.783083226222895e-05
1160	0.0135	-0.001345	0.0135	-2.784433794903227e-05	0	-2.784433794903227e-05
1161	-0.0135	0.001325	0.0135	4.230774881274932e-06	0	4.230774881274932e-06
1162	-0.0135	0.001325	0.0105	4.0871973042019e-06	0	4.0871973042019e-06
1163	-0.0135	0.001325	0.0075	4.087115059675007e-06	0	4.087115059675007e-06
1164	-0.0135	0.001325	0.0045	4.087013307646569e-06	0	4.087013307646569e-06
1165	-0.0135	0.001325	0.0015	4.087001860273717e-06	0	4.087001860273717e-06
1166	-0.0135	0.001325	-0.0015	4.087001860297278e-06	0	4.087001860297278e-06
1167	-0.0135	0.001325	-0.0045	4.087013307680082e-06	0	4.087013307680082e-06
1168	-0.0135	0.001325	-0.0075	4.087115059723876e-06	0	4.087115059723876e-06
1169	-0.0135	0.001325	-0.0105	4.087197304236025e-06	0	4.087197304236025e-06
1170	-0.0135	0.001325	-0.0135	4.230774881268954e-06	0	4.230774881268954e-06
1171	-0.0105	0.001325	0.0135	4.08719730437087e-06	0	4.08719730437087e-06
1172	-0.0105	0.001325	0.0105	3.980896472910731e-06	0	3.980896472910731e-06
1173	-0.0105	0.001325	0.0075	3.978419717842639e-06	0	3.978419717842639e-06
1174	-0.0105	0.001325	0.0045	3.978405164776044e-06	0	3.978405164776044e-06
1175	-0.0105	0.001325	0.0015	3.978384395343514e-06	0	3.978384395343514e-06
1176	-0.0105	0.001325	-0.0015	3.978384395340946e-06	0	3.978384395340946e-06
1177	-0.0105	0.001325	-0.0045	3.978405164755358e-06	0	3.978405164755358e-06
1178	-0.0105	0.001325	-0.0075	3.978419717768037e-06	0	3.978419717768037e-06
1179	-0.0105	0.001325	-0.0105	3.980896472774006e-06	0	3.980896472774006e-06
1180	-0.0105	0.001325	-0.0135	4.087197304216985e-06	0	4.087197304216985e-06
1181	-0.0075	0.001325	0.0135	4.087115059751338e-06	0	4.087115059751338e-06
1182	-0.0075	0.001325	0.0105	3.978419717823477e-06	0	3.978419717823477e-06
1183	-0.0075	0.001325	0.0075	3.97547172654195e-06	0	3.97547172654195e-06
1184	-0.0075	0.001325	0.0045	3.975467980548616e-06	0	3.975467980548616e-06
1185	-0.0075	0.001325	0.0015	3.975439160824528e-06	0	3.975439160824528e-06
1186	-0.0075	0.001325	-0.0015	3.975439160800735e-06	0	3.975439160800735e-06
1187	-0.0075	0.001325	-0.0045	3.975467980526473e-06	0	3.975467980526473e-06
1188	-0.0075	0.001325	-0.0075	3.975471726514296e-06	0	3.975471726514296e-06
1189	-0.0075	0.001325	-0.0105	3.978419717790701e-06	0	3.978419717790701e-06
1190	-0.0075	0.001325	-0.0135	4.087115059701076e-06	0	4.087115059701076e-06
1191	-0.0045	0.001325	0.0135	4.087013307699212e-06	0	4.087013307699212e-06
1192	-0.0045	0.001325	0.0105	3.978405164793609e-06	0	3.978405164793609e-06
1193	-0.0045	0.001325	0.0075	3.975467980565295e-06	0	3.975467980565295e-06
1194	-0.0045	0.001325	0.0045	3.975460233036378e-06	0	3.975460233036378e-06
1195	-0.0045	0.001325	0.0015	3.975428770209643e-06	0	3.975428770209643e-06
1196	-0.0045	0.001325	-0.0015	3.975428770198315e-06	0	3.975428770198315e-06
1197	-0.0045	0.001325	-0.0045	3.97546023303667e-06	0	3.97546023303667e-06
1198	-0.0045	0.001325	-0.0075	3.975467980558739e-06	0	3.975467980558739e-06
1199	-0.0045	0.001325	-0.0105	3.978405164807239e-06	0	3.978405164807239e-06
1200	-0.0045	0.001325	-0.0135	4.08701330766534e-06	0	4.08701330766534e-06
1201	-0.0015	0.001325	0.0135	4.087001860334809e-06	0	4.087001860334809e-06
1202	-0.0015	0.001325	0.0105	3.978384395329082e-06	0	3.978384395329082e-06
1203	-0.0015	0.001325	0.0075	3.975439160812292e-06	0	3.975439160812292e-06
1204	-0.0015	0.001325	0.0045	3.975428770189803e-06	0	3.975428770189803e-06
1205	-0.0015	0.001325	0.0015	3.975396459967417e-06	0	3.975396459967417e-06
1206	-0.0015	0.001325	-0.0015	3.975396459959865e-06	0	3.975396459959865e-06
